participant_id,session_id,condition,task_type,key_code,t_down_ms,t_up_ms,order_index
62965888,1,Morning,fixed,Key.shift,1763041056365,1763041056464,0
62965888,1,Morning,fixed,'h',1763041056527,1763041056572,1
62965888,1,Morning,fixed,'e',1763041056547,1763041056633,2
62965888,1,Morning,fixed,Key.space,1763041056694,1763041056778,3
62965888,1,Morning,fixed,'q',1763041056816,1763041056901,4
62965888,1,Morning,fixed,'u',1763041056918,1763041056995,5
62965888,1,Morning,fixed,'i',1763041056967,1763041057043,6
62965888,1,Morning,fixed,'c',1763041057072,1763041057161,7
62965888,1,Morning,fixed,'k',1763041057172,1763041057249,8
62965888,1,Morning,fixed,Key.space,1763041057544,1763041057604,9
62965888,1,Morning,fixed,'b',1763041057757,1763041057815,10
62965888,1,Morning,fixed,'r',1763041057956,1763041058029,11
62965888,1,Morning,fixed,'o',1763041057993,1763041058080,12
62965888,1,Morning,fixed,'w',1763041058160,1763041058247,13
62965888,1,Morning,fixed,'n',1763041058227,1763041058296,14
62965888,1,Morning,fixed,Key.space,1763041058321,1763041058414,15
62965888,1,Morning,fixed,'f',1763041058446,1763041058553,16
62965888,1,Morning,fixed,'o',1763041058618,1763041058711,17
62965888,1,Morning,fixed,'x',1763041058965,1763041059083,18
62965888,1,Morning,fixed,Key.space,1763041059080,1763041059148,19
62965888,1,Morning,fixed,'j',1763041059263,1763041059334,20
62965888,1,Morning,fixed,'u',1763041059401,1763041059460,21
62965888,1,Morning,fixed,'m',1763041059619,1763041059658,22
62965888,1,Morning,fixed,'j',1763041059579,1763041059662,23
62965888,1,Morning,fixed,'p',1763041059622,1763041059739,24
62965888,1,Morning,fixed,'s',1763041059731,1763041059810,25
62965888,1,Morning,fixed,Key.space,1763041059815,1763041059927,26
62965888,1,Morning,fixed,'o',1763041059911,1763041059972,27
62965888,1,Morning,fixed,Key.backspace,1763041060104,1763041060160,28
62965888,1,Morning,fixed,Key.backspace,1763041060238,1763041060310,29
62965888,1,Morning,fixed,Key.backspace,1763041060398,1763041060455,30
62965888,1,Morning,fixed,Key.backspace,1763041060538,1763041060593,31
62965888,1,Morning,fixed,Key.backspace,1763041060686,1763041060742,32
62965888,1,Morning,fixed,Key.backspace,1763041060842,1763041060910,33
62965888,1,Morning,fixed,'m',1763041061052,1763041061160,34
62965888,1,Morning,fixed,'p',1763041061118,1763041061220,35
62965888,1,Morning,fixed,'s',1763041061236,1763041061337,36
62965888,1,Morning,fixed,Key.space,1763041061429,1763041061510,37
62965888,1,Morning,fixed,'o',1763041061598,1763041061677,38
62965888,1,Morning,fixed,'v',1763041061712,1763041061778,39
62965888,1,Morning,fixed,'e',1763041061797,1763041061949,40
62965888,1,Morning,fixed,'r',1763041061898,1763041062014,41
62965888,1,Morning,fixed,Key.space,1763041061982,1763041062045,42
62965888,1,Morning,fixed,'t',1763041062095,1763041062210,43
62965888,1,Morning,fixed,'h',1763041062171,1763041062228,44
62965888,1,Morning,fixed,'e',1763041062253,1763041062361,45
62965888,1,Morning,fixed,Key.space,1763041062360,1763041062438,46
62965888,1,Morning,fixed,'l',1763041062494,1763041062569,47
62965888,1,Morning,fixed,'a',1763041062553,1763041062638,48
62965888,1,Morning,fixed,'z',1763041062781,1763041062892,49
62965888,1,Morning,fixed,'y',1763041062896,1763041062961,50
62965888,1,Morning,fixed,Key.space,1763041062962,1763041063043,51
62965888,1,Morning,fixed,'d',1763041063195,1763041063320,52
62965888,1,Morning,fixed,'o',1763041063288,1763041063362,53
62965888,1,Morning,fixed,'g',1763041063369,1763041063452,54
62965888,1,Morning,fixed,Key.space,1763041063479,1763041063552,55
62965888,1,Morning,fixed,'w',1763041063615,1763041063710,56
62965888,1,Morning,fixed,'h',1763041063710,1763041063819,57
62965888,1,Morning,fixed,'i',1763041063800,1763041063877,58
62965888,1,Morning,fixed,'l',1763041063988,1763041064051,59
62965888,1,Morning,fixed,'e',1763041064055,1763041064159,60
62965888,1,Morning,fixed,Key.space,1763041064152,1763041064236,61
62965888,1,Morning,fixed,'t',1763041064385,1763041064461,62
62965888,1,Morning,fixed,'y',1763041064564,1763041064649,63
62965888,1,Morning,fixed,'p',1763041064604,1763041064680,64
62965888,1,Morning,fixed,'i',1763041064799,1763041064926,65
62965888,1,Morning,fixed,'n',1763041064892,1763041064943,66
62965888,1,Morning,fixed,'g',1763041064935,1763041065031,67
62965888,1,Morning,fixed,Key.space,1763041065047,1763041065127,68
62965888,1,Morning,fixed,'s',1763041065269,1763041065361,69
62965888,1,Morning,fixed,'e',1763041065534,1763041065627,70
62965888,1,Morning,fixed,Key.backspace,1763041065794,1763041065849,71
62965888,1,Morning,fixed,'t',1763041065876,1763041066002,72
62965888,1,Morning,fixed,'e',1763041065960,1763041066046,73
62965888,1,Morning,fixed,'a',1763041066011,1763041066127,74
62965888,1,Morning,fixed,'d',1763041066160,1763041066285,75
62965888,1,Morning,fixed,'i',1763041066880,1763041066994,76
62965888,1,Morning,fixed,'l',1763041066964,1763041067064,77
62965888,1,Morning,fixed,'y',1763041067165,1763041067245,78
62965888,1,Morning,fixed,Key.space,1763041067260,1763041067344,79
62965888,1,Morning,fixed,'t',1763041067677,1763041067716,80
62965888,1,Morning,fixed,'o',1763041067711,1763041067803,81
62965888,1,Morning,fixed,Key.space,1763041067795,1763041067884,82
62965888,1,Morning,fixed,'c',1763041067900,1763041068010,83
62965888,1,Morning,fixed,'o',1763041067955,1763041068035,84
62965888,1,Morning,fixed,'m',1763041068010,1763041068094,85
62965888,1,Morning,fixed,'p',1763041068165,1763041068260,86
62965888,1,Morning,fixed,'l',1763041068221,1763041068316,87
62965888,1,Morning,fixed,'e',1763041068260,1763041068360,88
62965888,1,Morning,fixed,'t',1763041068344,1763041068500,89
62965888,1,Morning,fixed,'e',1763041068469,1763041068565,90
62965888,1,Morning,fixed,Key.space,1763041068634,1763041068720,91
62965888,1,Morning,fixed,'t',1763041068779,1763041068868,92
62965888,1,Morning,fixed,'h',1763041068847,1763041068915,93
62965888,1,Morning,fixed,'i',1763041068887,1763041068964,94
62965888,1,Morning,fixed,'s',1763041068965,1763041069036,95
62965888,1,Morning,fixed,Key.space,1763041069076,1763041069151,96
62965888,1,Morning,fixed,'s',1763041069421,1763041069505,97
62965888,1,Morning,fixed,'e',1763041069615,1763041069742,98
62965888,1,Morning,fixed,'n',1763041069698,1763041069761,99
62965888,1,Morning,fixed,'t',1763041069759,1763041069871,100
62965888,1,Morning,fixed,'e',1763041069867,1763041069967,101
62965888,1,Morning,fixed,'n',1763041069977,1763041070047,102
62965888,1,Morning,fixed,'c',1763041070143,1763041070246,103
62965888,1,Morning,fixed,'e',1763041070197,1763041070305,104
62965888,1,Morning,fixed,Key.space,1763041070294,1763041070377,105
62965888,1,Morning,fixed,'f',1763041070416,1763041070484,106
62965888,1,Morning,fixed,'o',1763041070554,1763041070622,107
62965888,1,Morning,fixed,'r',1763041070586,1763041070654,108
62965888,1,Morning,fixed,Key.space,1763041070832,1763041070927,109
62965888,1,Morning,fixed,'b',1763041071163,1763041071255,110
62965888,1,Morning,fixed,'i',1763041071277,1763041071370,111
62965888,1,Morning,fixed,'o',1763041071363,1763041071444,112
62965888,1,Morning,fixed,'m',1763041071511,1763041071577,113
62965888,1,Morning,fixed,'e',1763041071613,1763041071684,114
62965888,1,Morning,fixed,'t',1763041072048,1763041072129,115
62965888,1,Morning,fixed,'r',1763041072221,1763041072278,116
62965888,1,Morning,fixed,'i',1763041072293,1763041072350,117
62965888,1,Morning,fixed,'c',1763041072433,1763041072515,118
62965888,1,Morning,fixed,Key.space,1763041072545,1763041072610,119
62965888,1,Morning,fixed,'a',1763041072618,1763041072703,120
62965888,1,Morning,fixed,'n',1763041072728,1763041072783,121
62965888,1,Morning,fixed,'a',1763041073073,1763041073177,122
62965888,1,Morning,fixed,'l',1763041073469,1763041073553,123
62965888,1,Morning,fixed,'y',1763041073704,1763041073760,124
62965888,1,Morning,fixed,'s',1763041073888,1763041073964,125
62965888,1,Morning,fixed,'i',1763041074004,1763041074075,126
62965888,1,Morning,fixed,'s',1763041074094,1763041074159,127
62965888,1,Morning,fixed,'.',1763041074580,1763041074680,128
62965888,1,Morning,fixed,Key.esc,1763041077071,1763041077145,129
